brand,code,name,hex
Anchor,Anchor 403,Black,#000000
Ariadna,1819,black,#000000
Madeira,2004,Black Brown,#000000
Madeira,2400,Black,#000000
Finca,7,Black,#000000
Anchor,Anchor 134,Sky Blue Ultra Dark,#000040
Madeira,914,Royal Blue VY DK,#00014a
Madeira,913,Royal Blue DK,#000153
Madeira,1009,Navy Blue VY DK,#001520
Madeira,1007,Navy Blue Med DK,#001e30
Anchor,Anchor 862,Fern Green Very Dark,#002a1b
DMC,3808,Turquoise ultra very dark,#004757
CXC,CXC 3808,Turquoise ultra very dark,#004757
DMC,3818,Emerald Green ultra very dark,#004f36
CXC,CXC 3818,Emerald Green ultra very dark,#004f36
DMC,3847,Teal Green dark,#00504d
CXC,CXC 3847,Teal Green dark,#00504d
DMC,3765,Very Dark Peacock Blue,#005879
CXC,CXC 3765,Very Dark Peacock Blue,#005879
Ariadna,1618,blue ultra dark,#005a82
DMC,699,Christmas Green,#005f3d
CXC,CXC 699,Christmas Green,#005f3d
Madeira,1102,Electric Blue DK,#0062be
Ariadna,1668,soiled emerald ultra dark,#006431
Ariadna,1644,marine very dark,#006464
DMC,909,Emerald Green very dark,#006540
CXC,CXC 909,Emerald Green very dark,#006540
DMC,995,Electric Blue dark,#006fbc
CXC,CXC 995,Electric Blue dark,#006fbc
DMC,700,Christmas Green bright,#00703e
CXC,CXC 700,Christmas Green bright,#00703e
DMC,910,Emerald Green dark,#007a4b
CXC,CXC 910,Emerald Green dark,#007a4b
DMC,3843,Electric Blue,#0081c7
CXC,CXC 3843,Electric Blue,#0081c7
DMC,3850,Bright Green dark,#00856b
CXC,CXC 3850,Bright Green dark,#00856b
DMC,911,Emerald Green medium,#008853
CXC,CXC 911,Emerald Green medium,#008853
DMC,3812,Sea Green very dark,#00887c
CXC,CXC 3812,Sea Green very dark,#00887c
DMC,3844,Bright Turquoise dark,#0089b2
CXC,CXC 3844,Bright Turquoise dark,#0089b2
Ariadna,1682,green dark,#008c46
Ariadna,1620A,electric blue dark,#008dd2
DMC,943,Aquamarine medium,#008f79
CXC,CXC 943,Aquamarine medium,#008f79
Ariadna,1662,turquoise green very dark,#009670
DMC,996,Electric Blue medium,#0097e1
CXC,CXC 996,Electric Blue medium,#0097e1
DMC,958,Sea Green dark,#009887
CXC,CXC 958,Sea Green dark,#009887
DMC,3845,Bright Turquoise medium,#009bbe
CXC,CXC 3845,Bright Turquoise medium,#009bbe
DMC,3851,Bright Green light,#009f82
CXC,CXC 3851,Bright Green light,#009f82
Ariadna,1667,soiled emerald dark,#00a064
DMC,3846,Bright Turquoise light,#00afd1
CXC,CXC 3846,Bright Turquoise light,#00afd1
Ariadna,1666,soiled emerald,#00b478
Ariadna,1655,turquoise ultra dark,#00b4c8
Ariadna,1620,blue dark,#00b4d2
Ariadna,1661,turquoise green dark,#00c896
Ariadna,1660,turquoise green,#00dcaa
Ariadna,1653,turquoise dark,#00dcd2
Madeira,1008,Navy Blue DK,#011a29
Madeira,2705,Misty Turquoise Med,#01644b
Anchor,Anchor 149,Navy Blue Medium Dark,#02024f
Ariadna,1678,aquamarine dark,#028200
Sullivans,Sullivans 45053,Black,#030303
Sullivans,Sullivans 45222,Royal Blue Very Dark,#040849
Madeira,1304,Christmas Green Brig,#043f26
Finca,4323,Blue Green very dark,#044d33
Anchor,Anchor 127,Navy Blue Very Dark,#05002a
Madeira,1303,Christmas Green DK,#054c2d
Ariadna,1613,blue ultra dark,#055a96
Finca,4652,Christmas Green,#056517
Madeira,1302,Emerald Green DK,#065b37
Madeira,1301,Emerald Green,#06663d
Madeira,1314,Pistachio Green Ultr,#072500
Anchor,Anchor 152,Navy Blue Ultra Very Dark,#080031
Sullivans,Sullivans 45281,Navy Blue Very Dark,#080219
Ariadna,1612,blue very dark,#0896f9
Ariadna,1654,turquoise very dark,#08cad2
Anchor,Anchor 150,Navy Blue Dark,#09094c
Anchor,Anchor 1089,Electric Blue Medium,#09a5b4
Anchor,Anchor 923,Christmas Green Very Dark,#0a3c01
Madeira,2704,Christmas Green DK,#0a6d31
Sullivans,Sullivans 45224,Navy Blue Dark,#0b092b
Sullivans,Sullivans 45206,Royal Blue Dark,#0b165c
Anchor,Anchor 133,Sky Blue Very Dark,#0b1858
Madeira,1006,Antique Blue VY DK,#0b2838
Madeira,1010,Blue VY DK,#0b3740
Ariadna,1689,green ultra dark,#0b4604
Madeira,1305,Christmas Green Med,#0b6f45
DMC,310,Black,#0c0c0c
CXC,CXC 310,Black,#0c0c0c
Anchor,Anchor 1068,Teal,#0c5360
Sullivans,Sullivans 45243,Pistachio Green Ultra Dark,#0d200d
DMC,3842,Wedgewood dark,#0d3e6b
CXC,CXC 3842,Wedgewood dark,#0d3e6b
Sullivans,Sullivans 45415,Emerald Green Ultra Dark,#0d4016
DMC,991,Aquamarine dark,#0d5850
CXC,CXC 991,Aquamarine dark,#0d5850
DMC,3814,Aquamarine,#0d7163
CXC,CXC 3814,Aquamarine,#0d7163
DMC,701,Christmas Green light,#0d7338
CXC,CXC 701,Christmas Green light,#0d7338
Sullivans,Sullivans 45109,Blue Green Very Dark,#0e1b18
Anchor,Anchor 148,Navy Blue Medium,#0e204b
Finca,3411,Royal Blue very dark,#0e365c
Madeira,2706,Misty Turquoise DK,#0e9472
Cosmo,600,600,#101113
Madeira,904,Cornflower Blue VY D,#112040
Sullivans,Sullivans 45225,Blue Very Dark,#112c65
Anchor,Anchor 1044,Pistachio Green Ultra Very Dark,#112e00
Finca,3405,Royal Blue dark,#11416d
Sullivans,Sullivans 45442,Bright Turquoise Dark,#1182bc
Anchor,Anchor 164,Baby Blue Ultra Very Dark,#12354b
Madeira,1514,Grey Green DK,#123600
Ariadna,1688,green very dark,#126408
Sullivans,Sullivans 45314,Electric Blue Dark,#126dce
Madeira,1713,Blue Black,#131819
Sullivans,Sullivans 45494,Baby Blue Ultra Very Dark,#132755
Sullivans,Sullivans 45054,Navy Blue Medium,#132b4f
Sullivans,Sullivans 45440,Wedgewood Dark,#13376e
Sullivans,Sullivans 45405,Turquoise Ultra Very Dark,#133b4c
DMC,3809,Turquoise very dark,#135c6d
CXC,CXC 3809,Turquoise very dark,#135c6d
Anchor,Anchor 1090,Electric Blue Light,#13bfe0
Madeira,2701,Blue Violet DK,#141635
Sullivans,Sullivans 45375,Antique Blue Very Dark,#142540
Madeira,1705,Sea Foam Green Ultra,#14301f
Cosmo,602,602,#15192e
Madeira,1506,Fern Green VY DK,#151b08
Sullivans,Sullivans 45257,Emerald Green Very Dark,#15621d
Finca,4402,Emerald Green very dark,#156f49
Anchor,Anchor 143,Royal Blue Dark,#162c51
Anchor,Anchor 230,Emerald Green,#163729
Madeira,1706,Blue Grey DK,#163b37
Anchor,Anchor 170,Blue Green Very Dark,#163d48
Madeira,1204,Turquoise Ultra VY D,#164530
Sullivans,Sullivans 45159,Christmas Green,#165b1b
Sullivans,Sullivans 45202,Cornflower Blue Very Dark,#17195d
Madeira,1505,Fern Green Ultra VY,#171f06
Sullivans,Sullivans 45069,Navy Blue,#17204a
Sullivans,Sullivans 45445,Teal Green Dark,#174e46
Sullivans,Sullivans 45060,Pistachio Green Very Dark,#18301b
DMC,3848,Teal Green medium,#186d6a
CXC,CXC 3848,Teal Green medium,#186d6a
Finca,4646,Emerald Green medium,#189065
Madeira,1306,Chartreuse,#18a449
Sullivans,Sullivans 45351,Black Brown,#190a07
Cosmo,669A,669A,#19192c
Anchor,Anchor 879,Sea Foam Green Ultra Very Dark,#193428
Sullivans,Sullivans 45441,Electric Blue,#1a7cd7
Ariadna,1657A,teal green dark,#1a8280
Anchor,Anchor 123,Blue Purple Dark,#1b183a
DMC,939,Navy Blue very dark,#1b1b2c
CXC,CXC 939,Navy Blue very dark,#1b1b2c
Sullivans,Sullivans 45207,Royal Blue,#1b2a74
DMC,890,Pistachio Green ultra dark,#1b3623
CXC,CXC 890,Pistachio Green ultra dark,#1b3623
Anchor,Anchor 878,Sea Foam Green Very Dark,#1b3d30
DMC,824,Blue very dark,#1b3e71
CXC,CXC 824,Blue very dark,#1b3e71
Madeira,1011,Blue DK,#1b4c57
DMC,825,Blue dark,#1b4f86
CXC,CXC 825,Blue dark,#1b4f86
Ariadna,1687,green dark,#1b820a
Finca,4396,Emerald Green light,#1b9d6b
Sullivans,Sullivans 45276,Black Avocado Green,#1c1c11
Cosmo,122,122,#1c2c1b
Sullivans,Sullivans 45269,Grey Green Very Dark,#1c3038
Sullivans,Sullivans 45055,Navy Blue Light,#1c3566
Madeira,1205,Blue Green,#1c3726
Finca,3319,Navy Blue medium,#1c5066
Madeira,1108,Misty Blue DK,#1c635f
Madeira,1109,Misty Blue Med,#1c7a77
Anchor,Anchor 1036,Antique Blue Ultra Very Dark,#1d254c
Madeira,1313,Pistachio Green VY D,#1d3112
Sullivans,Sullivans 45307,Forest Green Very Dark,#1d3b17
Anchor,Anchor 212,Jade Very Dark,#1d3f2a
Sullivans,Sullivans 45226,Blue Dark,#1d407c
Madeira,1107,Wedgewood DK,#1d4149
Anchor,Anchor 410,Electric Blue Dark,#1d58a0
DMC,806,Peacock Blue Dark,#1d6c87
CXC,CXC 806,Peacock Blue Dark,#1d6c87
Madeira,1307,Chartreuse LT,#1dc458
Finca,8083,Black Brown,#1e1108
Ariadna,1626,emerald green dark,#1e1e50
Ariadna,1606,blue violet ultra dark,#1e1e78
Sullivans,Sullivans 45311,Aquamarine Dark,#1e5f49
Madeira,1203,Turquoise VY DK,#1e6045
Anchor,Anchor 236,Pewter Grey Very Dark,#1f1f1f
Cosmo,169,169,#1f203b
Sullivans,Sullivans 45473,Cornflower Blue Medium Dark,#1f2565
Anchor,Anchor 683,Misty Green Ultra Very Dark,#1f2f27
Sullivans,Sullivans 45248,Hunter Green Very Dark,#1f391b
Madeira,1110,Misty Blue Med LT,#1f8a86
Cosmo,603,603,#201823
Madeira,2003,Brown DK,#201b16
DMC,820,Royal Blue very dark,#202063
CXC,CXC 820,Royal Blue very dark,#202063
DMC,823,Navy Blue dark,#20233a
CXC,CXC 823,Navy Blue dark,#20233a
DMC,336,Navy Blue,#202c4f
CXC,CXC 336,Navy Blue,#202c4f
DMC,311,Navy Blue medium,#203050
CXC,CXC 311,Navy Blue medium,#203050
Anchor,Anchor 147,Navy Blue Medium Light,#203056
DMC,803,Baby Blue ultra very dark,#203660
CXC,CXC 803,Baby Blue ultra very dark,#203660
Anchor,Anchor 229,Christmas Green Dark,#204f16
Finca,4485,Pistachio Green very dark,#205f2e
Finca,3327,Navy Blue dark,#213063
Ariadna,1629,navy blue,#213882
Cosmo,537,537,#214331
Sullivans,Sullivans 45406,Turquoise Very Dark,#21576b
Anchor,Anchor 1066,Teal Medium,#216b7a
Anchor,Anchor 246,Pistachio Green Very Dark,#223915
Anchor,Anchor 218,Misty Green Very Dark,#223d2e
Sullivans,Sullivans 45114,Wedgewood Dark,#224e89
Sullivans,Sullivans 45382,Very Dark Peacock Blue,#225485
Madeira,1405,Hunter Green DK,#233117
Sullivans,Sullivans 45342,Hunter Green Dark,#23330f
Madeira,905,Cornflower Blue DK,#23355b
DMC,3750,Antique Blue very dark,#23384f
CXC,CXC 3750,Antique Blue very dark,#23384f
DMC,312,Navy Blue light,#23426f
CXC,CXC 312,Navy Blue light,#23426f
Anchor,Anchor 211,Jade Dark,#234d34
DMC,517,Wedgewood dark,#236391
CXC,CXC 517,Wedgewood dark,#236391
DMC,796,Royal Blue dark,#242b70
CXC,CXC 796,Royal Blue dark,#242b70
Anchor,Anchor 188,Turquoise Dark,#246253
Madeira,1904,Beige Grey Ultra VY,#251e16
Anchor,Anchor 941,Cornflower Blue Medium,#252949
Anchor,Anchor 139,Delft Very Dark,#253156
DMC,895,Hunter Green very dark,#253d25
CXC,CXC 895,Hunter Green very dark,#253d25
DMC,500,Blue Green very dark,#253d36
CXC,CXC 500,Blue Green very dark,#253d36
DMC,319,Pistachio Green very dark,#25402c
CXC,CXC 319,Pistachio Green very dark,#25402c
Cosmo,121,121,#254628
DMC,986,Forest Green very dark,#25502c
CXC,CXC 986,Forest Green very dark,#25502c
Sullivans,Sullivans 45443,Bright Turquoise Medium,#25a9d8
Sullivans,Sullivans 45397,Pewter Grey Very Dark,#262724
Cosmo,538,538,#26362c
Anchor,Anchor 189,Turquoise Very Dark,#26443c
Anchor,Anchor 162,Baby Blue Very Dark,#265673
Finca,3822,Electric Blue dark,#2696b6
Sullivans,Sullivans 45273,Antique Blue Dark,#273949
Sullivans,Sullivans 45127,Jade Very Dark,#274e3e
Ariadna,1674,soiled green dark,#27502e
Sullivans,Sullivans 45258,Emerald Green Dark,#27772f
Sullivans,Sullivans 45448,Bright Green Dark,#278654
Sullivans,Sullivans 45469,Grape Very Dark,#28041b
Cosmo,2030,2030,#281f24
Sullivans,Sullivans 45428,Brown Grey Very Dark,#282117
Madeira,1810,Shell Grey Ultra VY,#282220
Finca,2720,,#282448
Ariadna,1627,emerald green very dark,#28285a
Cosmo,168,168,#282b54
Anchor,Anchor 269,Avocado Green Very Dark,#282e0f
Cosmo,4905,4905,#284d2c
Sullivans,Sullivans 45160,Christmas Green Bright,#287326
Sullivans,Sullivans 45409,Sea Green Very Dark,#288e70
Madeira,1507,Fern Green DK,#29290b
Sullivans,Sullivans 45277,Avocado Green Dark,#292c1a
Madeira,1811,Beaver Grey DK,#292f27
DMC,797,Royal Blue,#293a7c
CXC,CXC 797,Royal Blue,#293a7c
DMC,924,Grey Green very dark,#294247
CXC,CXC 924,Grey Green very dark,#294247
DMC,561,Jade very dark,#295544
CXC,CXC 561,Jade very dark,#295544
Madeira,1114,Turquoise Med DK,#29856c
Anchor,Anchor 1041,Beaver Grey Ultra Dark,#2a2824
Cosmo,667A,667A,#2a2a53
Ariadna,1630,navy blue ultra dark,#2a2d50
Sullivans,Sullivans 45203,Cornflower Blue Dark,#2a3586
Cosmo,338,338,#2a6337
Anchor,Anchor 178,Cornflower Blue Very D,#2b1d53
Cosmo,312,312,#2b2320
DMC,3371,Black Brown,#2b2421
CXC,CXC 3371,Black Brown,#2b2421
Cosmo,984,984,#2b4a53
Madeira,1005,Antique Blue DK,#2c4552
Anchor,Anchor 142,Royal Blue Medium,#2c4a7c
Anchor,Anchor 228,Christmas Green Medium,#2c5d22
DMC,505,Jade Green,#2c6142
CXC,CXC 505,Jade Green,#2c6142
Cosmo,902,902,#2c675d
Madeira,2505,Wedgewood VY DK,#2c6779
DMC,3760,Wedgewood (806),#2c6f99
CXC,CXC 3760,Wedgewood (806),#2c6f99
Anchor,Anchor 1076,Jade,#2c897b
Ariadna,1786,black browne,#2d1a09
Cosmo,218,218,#2d2f5e
Cosmo,927,927,#2d301b
Anchor,Anchor 922,Antique Blue Dark,#2d313b
Cosmo,216,216,#2d3880
Anchor,Anchor 979,Blue Very Dark,#2d3a4b
Sullivans,Sullivans 45253,Parrot Green Very Dark,#2d4714
Anchor,Anchor 169,Blue Green Dark,#2d4f59
Sullivans,Sullivans 45208,Delft Blue Dark,#2d5095
Cosmo,320,320,#2d5333
Finca,4368,,#2d6153
Madeira,1206,Jade DK,#2d6444
DMC,791,Cornflower Blue very dark,#2e2960
CXC,CXC 791,Cornflower Blue very dark,#2e2960
Cosmo,601,601,#2e2a31
Anchor,Anchor 846,Khaki Green Dark,#2e2b1a
Madeira,1508,Fern Green Med,#2e2e17
Cosmo,668,668,#2e2f52
DMC,934,Black Avocado Green,#2e3425
CXC,CXC 934,Black Avocado Green,#2e3425
Cosmo,167,167,#2e4277
Anchor,Anchor 217,Misty Green Dark,#2e4c3c
Sullivans,Sullivans 45490,Jade Green,#2e5d38
Madeira,2006,Tan Ultra VY DK,#2f1c05
Anchor,Anchor 263,Loden Green Dark,#2f3720
Madeira,1712,Dusty Blue DK,#2f3c3f
Cosmo,637,637,#2f3f23
Madeira,912,Royal Blue Med,#2f4c6b
Anchor,Anchor 210,Jade Medium Dark,#2f583f
Cosmo,2536A,2536A,#2f5a44
Cosmo,376,376,#2f5c83
Sullivans,Sullivans 45411,Aquamarine,#2f7863
Sullivans,Sullivans 45280,Coffee Brown Ultra Dark,#30100c
Anchor,Anchor 382,Black Brown Very Dark,#301400
Anchor,Anchor 273,Beaver Grey Very Dark,#302d28
DMC,158,Cornflower Blue medium,#303065
CXC,CXC 158,Cornflower Blue medium,#303065
DMC,3799,Pewter Grey very dark,#303438
CXC,CXC 3799,Pewter Grey very dark,#303438
Anchor,Anchor 1035,Antique Blue Very Dark,#303546
Madeira,1601,Laurel Green DK,#303a28
DMC,930,Antique Blue dark,#30465a
CXC,CXC 930,Antique Blue dark,#30465a
Cosmo,846,846,#306753
DMC,826,Blue medium,#306ba1
CXC,CXC 826,Blue medium,#306ba1
Sullivans,Sullivans 45446,Teal Green Medium,#30736a
Madeira,1214,Leaf Green VY DK,#308652
Sullivans,Sullivans 45282,Aquamarine Medium,#30956c
DMC,912,Emerald Green light,#309c66
CXC,CXC 912,Emerald Green light,#309c66
DMC,959,Sea Green medium,#30ad9d
CXC,CXC 959,Sea Green medium,#30ad9d
Finca,3810,Electric Blue medium,#30c2ec
Anchor,Anchor 102,Lavender Ultra Very Dark,#310331
Cosmo,4792,4792,#31336d
Madeira,1404,Hunter Green VY DK,#31461f
Madeira,1413,Forest Green VY DK,#314a00
Ariadna,1714,olive green ultra dark,#315025
Cosmo,276,276,#31743d
Ariadna,1701,parrot green ultra dark,#318229
Sullivans,Sullivans 45323,Mocha Brown Very Dark,#321b11
Sullivans,Sullivans 45066,Blue Violet Very Dark,#322984
Cosmo,156,156,#323133
Sullivans,Sullivans 45089,Pewter Grey Dark,#323737
Cosmo,2016,2016,#324227
Cosmo,636,636,#324324
Cosmo,2120,2120,#325930
Cosmo,329,329,#326132
Cosmo,2024,2024,#326683
Ariadna,1642,sea green,#329b91
Sullivans,Sullivans 45236,Beige Brown Very Dark,#331a14
Madeira,2005,Chocolate,#331d04
Anchor,Anchor 851,Grey Blue Ultra Very Dark,#334051
Madeira,1406,Hunter Green Med,#33421b
Cosmo,735,735,#334768
Cosmo,415A,415A,#3365b1
Ariadna,1664A,jade dark,#338c68
Madeira,903,Blue Violet Med,#340e53
Cosmo,926,926,#344223
DMC,3345,Hunter Green dark,#344a25
CXC,CXC 3345,Hunter Green dark,#344a25
Sullivans,Sullivans 45110,Blue Green Dark,#344d46
Anchor,Anchor 245,Pistachio Green Dark,#344e24
Anchor,Anchor 877,Sea Foam Green Dark,#345b4a
DMC,904,Parrot Green very dark,#345f25
CXC,CXC 904,Parrot Green very dark,#345f25
Madeira,2507,Misty Green DK,#347a72
DMC,3810,Turquoise dark,#347b8c
CXC,CXC 3810,Turquoise dark,#347b8c
DMC,702,Kelly Green,#34853e
CXC,CXC 702,Kelly Green,#34853e
Cosmo,247,247,#351d21
Anchor,Anchor 905,Brown Grey Dark,#35271b
Anchor,Anchor 401,Shell Grey Very Dark,#352c2a
Cosmo,557,557,#352e56
Cosmo,665,665,#353a7d
Sullivans,Sullivans 45117,Fern Green Dark,#35442e
Cosmo,254,254,#35588f
Ariadna,1643,sea blue dark,#358c8c
Anchor,Anchor 72,Dusty Plum Ultra Very Dark,#36011e
Anchor,Anchor 381,Black Brown Dark,#361a06
Anchor,Anchor 1050,Mocha Brown Dark,#361f0c
Madeira,1905,Beige Grey VY DK,#362d25
Sullivans,Sullivans 45241,Beaver Grey Ultra Dark,#362f2a
Cosmo,478,478,#36313c
Sullivans,Sullivans 45278,Avocado Green Very Dark,#36371a
Cosmo,687,687,#36381e
DMC,935,Avocado Green dark,#363d2c
CXC,CXC 935,Avocado Green dark,#363d2c
Cosmo,2167,2167,#363d64
Madeira,1812,Beaver Grey Med,#363e36
Anchor,Anchor 132,Sky Blue Dark,#363e67
Madeira,906,Cornflower Blue Med,#36476c
Cosmo,166,166,#365186
Madeira,1704,Sea Foam Green DK,#365341
DMC,501,Blue Green dark,#36544a
CXC,CXC 501,Blue Green dark,#36544a
Finca,3670,Turquoise ultra very dark,#366970
Cosmo,900,900,#367b6e
Anchor,Anchor 187,Turquoise Medium,#368b78
DMC,992,Aquamarine medium,#369380
CXC,CXC 992,Aquamarine medium,#369380
Sullivans,Sullivans 45123,Violet Very Dark,#37073f
Ariadna,1782,golden brown ultra dark,#372720
Anchor,Anchor 681,Green Grey,#37361f
Anchor,Anchor 940,Delft Dark,#373d63
Ariadna,1624,cornflower blue dark,#3764b1
Cosmo,2319,2319,#376541
Cosmo,275,275,#377e3e
DMC,154,Grape very dark,#38172b
CXC,CXC 154,Grape very dark,#38172b
Madeira,1809,Shell Grey VY DK,#38302e
Cosmo,895,895,#383633
DMC,3815,Celadon Green dark,#386a57
CXC,CXC 3815,Celadon Green dark,#386a57
Sullivans,Sullivans 45259,Emerald Green Medium,#389346
Ariadna,1658,sea green,#38c896
Anchor,Anchor 861,Fern Green Dark,#394131
Cosmo,635A,635A,#395029
Finca,4231,Blue Green dark,#396f52
Sullivans,Sullivans 45161,Christmas Green Light,#39822c
Sullivans,Sullivans 45249,Coffee Brown Very Dark,#3a150d
Anchor,Anchor 177,Cornflower Blue Dark,#3a2d61
Finca,2711,,#3a3365
Anchor,Anchor 400,Pewter Grey Dark,#3a3a3a
DMC,792,Cornflower Blue dark,#3a3e82
CXC,CXC 792,Cornflower Blue dark,#3a3e82
